iter	Passed	Remaining
218	3984	14210
219	3996	14170
220	4010	14135
221	4022	14096
222	4035	14059
223	4047	14022
224	4060	13987
225	4073	13950
226	4086	13914
227	4098	13878
228	4111	13841
229	4124	13806
230	4136	13769
231	4147	13731
232	4159	13693
233	4172	13657
234	4184	13623
235	4196	13585
236	4210	13554
237	4222	13518
238	4235	13485
239	4246	13447
240	4258	13411
241	4270	13376
242	4282	13342
243	4295	13309
244	4307	13274
245	4320	13243
246	4332	13208
247	4345	13177
248	4357	13143
249	4370	13111
250	4381	13074
251	4393	13042
252	4405	13007
253	4417	12974
254	4430	12943
255	4445	12918
256	4458	12889
257	4471	12859
258	4485	12832
259	4497	12799
260	4509	12767
261	4522	12738
262	4534	12706
263	4547	12678
264	4560	12649
265	4576	12629
266	4593	12610
267	4605	12578
268	4617	12546
269	4629	12516
270	4641	12485
271	4654	12458
272	4669	12436
273	4689	12424
274	4706	12408
275	4735	12422
276	4779	12474
277	4800	12467
278	4824	12467
279	4864	12507
280	4901	12542
281	4925	12540
282	4957	12559
283	5133	12942
284	5226	13111
285	5259	13129
286	5304	13177
287	5352	13232
288	5373	13220
289	5393	13205
290	5412	13188
291	5434	13177
292	5458	13172
293	5484	13170
294	5511	13171
295	5530	13152
296	5548	13132
297	5566	13112
298	5596	13119
299	5630	13136
300	5651	13124
301	5669	13104
302	5690	13089
303	5711	13075
304	5729	13056
305	5755	13054
306	5776	13040
307	5811	13057
308	5830	13038
309	5850	13021
310	5869	13003
311	5888	12985
312	5922	12999
313	5947	12992
314	5973	12990
315	5996	12980
316	6022	12975
317	6045	12964
318	6064	12946
319	6090	12942
320	6108	12922
321	6124	12895
322	6139	12869
323	6154	12840
324	6169	12814
325	6197	12812
326	6218	12798
327	6250	12805
328	6267	12781
329	6283	12756
330	6317	12768
331	6340	12758
332	6368	12756
333	6419	12800
334	6451	12806
335	6475	12796
336	6491	12771
337	6508	12746
338	6524	12721
339	6549	12714
340	6567	12692
341	6584	12667
342	6599	12641
343	6617	12620
344	6633	12593
345	6656	12582
346	6699	12607
347	6714	12580
348	6727	12549
349	6741	12519
350	6753	12487
351	6767	12457
352	6780	12427
353	6792	12394
354	6804	12363
355	6819	12336
356	6836	12312
357	6849	12283
358	6870	12267
359	6882	12236
360	6896	12208
361	6908	12175
362	6921	12145
363	6935	12117
364	6953	12097
365	6965	12065
366	6977	12035
367	6991	12006
368	7003	11976
369	7016	11947
370	7029	11917
371	7043	11889
372	7059	11867
373	7074	11841
374	7090	11818
375	7118	11814
376	7146	11810
377	7167	11793
378	7190	11781
379	7205	11755
380	7217	11726
381	7230	11696
382	7241	11665
383	7255	11638
384	7267	11608
385	7279	11578
386	7291	11550
387	7307	11526
388	7327	11510
389	7344	11486
390	7357	11460
391	7371	11433
392	7383	11404
393	7397	11377
394	7415	11358
395	7428	11329
396	7442	11304
397	7454	11275
398	7467	11248
399	7480	11220
400	7492	11191
401	7505	11164
402	7517	11136
403	7531	11111
404	7543	11083
405	7555	11053
406	7571	11032
407	7595	11021
408	7608	10993
409	7620	10966
410	7632	10938
411	7647	10914
412	7667	10898
413	7680	10871
414	7695	10847
415	7723	10842
416	7742	10824
417	7759	10804
418	7774	10780
419	7789	10756
420	7804	10733
421	7819	10710
422	7848	10705
423	7866	10686
424	7881	10663
425	7895	10638
426	7911	10616
427	7932	10601
428	7947	10578
429	7963	10555
430	7983	10539
431	7997	10514
432	8012	10491
433	8026	10467
434	8040	10443
435	8054	10419
436	8071	10398
437	8100	10394
438	8127	10385
439	8143	10365
440	8158	10341
441	8174	10319
442	8188	10296
443	8207	10277
444	8227	10261
445	8250	10248
446	8283	10247
447	8306	10234
448	8325	10217
449	8343	10197
450	8359	10175
451	8376	10155
452	8391	10133
453	8406	10109
454	8427	10094
455	8441	10070
456	8458	10049
457	8471	10025
458	8485	10001
459	8500	9978
460	8514	9955
461	8529	9932
462	8543	9908
463	8558	9886
464	8582	9874
465	8601	9856
466	8618	9836
467	8633	9814
468	8647	9790
469	8663	9769
470	8677	9745
471	8705	9738
472	8721	9717
473	8740	9699
474	8779	9703
475	8798	9686
476	8812	9662
477	8826	9638
478	8840	9616
479	8855	9593
480	8870	9571
481	8890	9554
482	8907	9533
483	8922	9512
484	8938	9490
485	8952	9468
486	8966	9444
487	8981	9423
488	8997	9402
489	9010	9377
490	9023	9354
491	9036	9329
492	9055	9312
493	9085	9306
494	9098	9282
495	9109	9256
496	9121	9231
497	9145	9219
498	9161	9198
499	9174	9174
500	9187	9150
501	9199	9126
502	9213	9103
503	9226	9079
504	9238	9055
505	9250	9031
506	9263	9007
507	9276	8984
508	9291	8963
509	9307	8942
510	9324	8922
511	9348	8910
512	9365	8890
513	9381	8870
514	9397	8850
515	9413	8829
516	9429	8809
517	9444	8788
518	9460	8768
519	9475	8746
520	9486	8722
521	9499	8698
522	9511	8674
523	9524	8651
524	9537	8628
525	9550	8606
526	9563	8583
527	9575	8560
528	9589	8537
529	9601	8514
530	9614	8491
531	9626	8468
532	9638	8445
533	9651	8422
534	9670	8405
535	9687	8385
536	9702	8365
537	9718	8345
538	9731	8323
539	9746	8302
540	9760	8281
541	9774	8259
542	9789	8238
543	9804	8218
544	9821	8199
545	9845	8186
546	9861	8166
547	9875	8145
548	9891	8125
549	9905	8104
550	9919	8083
551	9933	8061
552	9946	8040
553	9960	8018
554	9976	7999
555	9993	7980
556	10020	7969
557	10035	7949
558	10049	7928
559	10064	7907
560	10079	7887
561	10093	7866
562	10107	7845
563	10122	7825
564	10138	7805
565	10154	7785
566	10169	7765
567	10184	7745
568	10198	7725
569	10213	7704
570	10227	7683
571	10242	7663
572	10256	7643
573	10270	7622
574	10284	7601
575	10297	7580
576	10311	7559
577	10326	7539
578	10340	7518
579	10354	7498
580	10370	7479
581	10386	7459
582	10401	7440
583	10416	7419
584	10431	7400
585	10445	7379
586	10459	7358
587	10477	7341
588	10495	7323
589	10515	7307
590	10534	7290
591	10563	7279
592	10580	7262
593	10600	7245
594	10618	7227
595	10634	7208
596	10658	7194
597	10680	7179
598	10694	7159
599	10710	7140
600	10725	7120
601	10740	7100
602	10754	7080
603	10769	7060
604	10784	7040
605	10798	7020
606	10813	7000
607	10827	6980
608	10848	6965
609	10867	6948
610	10885	6930
611	10900	6910
612	10915	6891
613	10930	6871
614	10945	6852
615	10960	6832
616	10972	6811
617	10985	6790
618	10998	6769
619	11011	6748
620	11023	6727
621	11035	6706
622	11047	6685
623	11059	6664
624	11072	6643
625	11085	6623
626	11098	6602
627	11121	6588
628	11134	6567
629	11147	6547
630	11162	6527
631	11177	6508
632	11189	6487
633	11202	6466
634	11215	6446
635	11229	6426
636	11241	6406
637	11256	6386
638	11271	6367
639	11285	6347
640	11297	6327
641	11309	6306
642	11323	6286
643	11335	6266
644	11347	6245
645	11360	6225
646	11373	6205
647	11385	6184
648	11398	6164
649	11410	6144
650	11422	6123
651	11435	6103
652	11447	6083
653	11460	6062
654	11471	6042
655	11483	6021
656	11495	6001
657	11507	5981
658	11527	5964
659	11541	5945
660	11555	5926
661	11567	5906
662	11580	5886
663	11593	5866
664	11605	5846
665	11621	5828
666	11640	5811
667	11658	5794
668	11675	5776
669	11693	5759
670	11711	5742
671	11731	5726
672	11749	5708
673	11765	5690
674	11781	5672
675	11796	5654
676	11811	5635
677	11827	5617
678	11842	5598
679	11857	5579
680	11871	5560
681	11891	5544
682	11910	5528
683	11926	5509
684	11941	5491
685	11956	5472
686	11970	5453
687	12017	5449
688	12032	5431
689	12047	5412
690	12061	5393
691	12077	5375
692	12093	5357
693	12107	5338
694	12123	5320
695	12138	5301
696	12152	5282
697	12176	5268
698	12196	5252
699	12213	5234
700	12228	5215
701	12243	5197
702	12264	5181
703	12278	5162
704	12292	5143
705	12307	5125
706	12322	5106
707	12335	5087
708	12351	5069
709	12368	5051
710	12382	5032
711	12402	5016
712	12418	4998
713	12435	4981
714	12495	4980
715	12546	4976
716	12621	4981
717	12710	4992
718	12735	4977
719	12769	4965
720	12827	4963
721	12869	4955
722	12908	4945
723	12941	4933
724	12996	4929
725	13055	4927
726	13099	4918
727	13155	4915
728	13206	4909
729	13261	4904
730	13308	4897
731	13380	4898
732	13440	4895
733	13466	4880
734	13485	4862
735	13574	4868
736	13648	4870
737	13695	4862
738	13747	4855
739	13790	4845
740	13833	4835
741	13878	4825
742	13904	4809
743	13925	4791
744	13944	4772
745	13985	4761
746	14026	4750
747	14063	4738
748	14095	4723
749	14124	4708
750	14145	4690
751	14185	4678
752	14212	4662
753	14230	4642
754	14250	4624
755	14272	4606
756	14300	4590
757	14326	4573
758	14347	4555
759	14366	4536
760	14396	4521
761	14423	4504
762	14444	4486
763	14472	4470
764	14513	4458
765	14548	4444
766	14588	4431
767	14734	4451
768	14781	4440
769	14850	4435
770	14893	4423
771	14936	4411
772	14995	4403
773	15043	4392
774	15075	4376
775	15101	4359
776	15145	4346
777	15183	4332
778	15221	4318
779	15258	4303
780	15294	4288
781	15337	4275
782	15438	4278
783	15476	4263
784	15499	4245
785	15536	4229
786	15560	4211
787	15583	4192
788	15606	4173
789	15628	4154
790	15651	4135
791	15673	4116
792	15704	4099
793	15756	4087
794	15789	4071
795	15833	4057
796	15863	4040
797	15881	4020
798	15900	4000
799	15922	3980
800	15942	3960
801	15962	3940
802	15981	3920
803	16000	3900
804	16021	3880
805	16044	3861
806	16071	3843
807	16092	3823
808	16111	3803
809	16130	3783
810	16151	3763
811	16171	3744
812	16188	3723
813	16203	3702
814	16219	3681
815	16236	3661
816	16250	3639
817	16266	3619
818	16283	3598
819	16306	3579
820	16326	3559
821	16348	3540
822	16369	3520
823	16393	3501
824	16416	3482
825	16442	3463
826	16458	3443
827	16475	3422
828	16555	3414
829	16579	3395
830	16604	3376
831	16628	3357
832	16649	3337
833	16667	3317
834	16685	3297
835	16702	3276
836	16728	3257
837	16745	3237
838	16762	3216
839	16780	3196
840	16797	3175
841	16815	3155
842	16834	3135
843	16854	3115
844	16873	3095
845	16928	3081
846	16948	3061
847	16967	3041
848	16985	3020
849	17003	3000
850	17019	2979
851	17037	2959
852	17056	2939
853	17079	2919
854	17126	2904
855	17149	2884
856	17180	2866
857	17200	2846
858	17218	2826
859	17234	2805
860	17251	2785
861	17268	2764
862	17286	2744
863	17306	2724
864	17324	2703
865	17342	2683
866	17360	2663
867	17378	2642
868	17395	2622
869	17416	2602
870	17447	2584
871	17475	2565
872	17518	2548
873	17545	2529
874	17573	2510
875	17604	2491
876	17622	2471
877	17641	2451
878	17657	2430
879	17699	2413
880	17741	2396
881	17758	2375
882	17775	2355
883	17789	2334
884	17804	2313
885	17826	2293
886	17839	2272
887	17851	2251
888	17864	2230
889	17877	2209
890	17890	2188
891	17903	2167
892	17915	2146
893	17929	2125
894	17942	2105
895	17955	2084
896	17968	2063
897	17992	2043
898	18014	2023
899	18027	2003
900	18040	1982
901	18054	1961
902	18068	1940
903	18080	1920
904	18103	1900
905	18115	1879
906	18128	1858
907	18143	1838
908	18159	1817
909	18171	1797
910	18184	1776
911	18195	1755
912	18207	1735
913	18218	1714
914	18229	1693
915	18242	1672
916	18255	1652
917	18268	1631
918	18281	1611
919	18295	1590
920	18308	1570
921	18321	1549
922	18335	1529
923	18347	1509
924	18361	1488
925	18372	1468
926	18386	1447
927	18399	1427
928	18411	1407
929	18425	1386
930	18441	1366
931	18454	1346
932	18467	1326
933	18487	1306
934	18506	1286
935	18523	1266
936	18537	1246
937	18552	1226
938	18568	1206
939	18582	1186
940	18599	1166
941	18617	1146
942	18635	1126
943	18660	1106
944	18679	1087
945	18698	1067
946	18718	1047
947	18735	1027
948	18751	1007
949	18766	987
950	18781	967
951	18796	947
952	18820	928
953	18836	908
954	18850	888
955	18866	868
956	18881	848
957	18895	828
958	18911	808
959	18927	788
960	18940	768
961	18954	748
962	18969	728
963	18984	708
964	18999	689
965	19013	669
966	19029	649
967	19042	629
968	19058	609
969	19073	589
970	19088	570
971	19102	550
972	19116	530
973	19130	510
974	19152	491
975	19169	471
976	19185	451
977	19201	431
978	19215	412
979	19229	392
980	19243	372
981	19256	352
982	19272	333
983	19287	313
984	19303	293
985	19338	274
986	19365	255
987	19381	235
988	19395	215
989	19409	196
990	19424	176
991	19439	156
992	19461	137
993	19477	117
994	19498	97
995	19516	78
996	19531	58
997	19546	39
998	19561	19
999	19575	0
