iter	RMSE
549	290275.2068
550	290224.9511
551	290155.2672
552	290021.6026
553	289988.1413
554	289939.3203
555	289871.8721
556	289802.4621
557	289756.4862
558	289694.9981
559	289634.952
560	289558.3175
561	289496.8996
562	289428.8923
563	289327.6041
564	289278.9487
565	289188.7469
566	289125.4574
567	289050.7261
568	288981.9927
569	288931.7539
570	288871.5643
571	288803.2326
572	288681.0106
573	288623.519
574	288569.5141
575	288444.9104
576	288391.069
577	288312.4229
578	288252.7143
579	288183.768
580	288053.7689
581	287966.0081
582	287882.5456
583	287810.4743
584	287718.5196
585	287663.4852
586	287586.9115
587	287535.4308
588	287448.5165
589	287350.0774
590	287265.4671
591	287163.6043
592	287003.8673
593	286913.7409
594	286841.1807
595	286770.8351
596	286707.752
597	286655.8415
598	286579.9919
599	286513.9067
600	286447.4241
601	286377.4007
602	286312.142
603	286256.4302
604	286204.9368
605	286155.2065
606	286097.508
607	286032.715
608	285960.8308
609	285901.9525
610	285816.3626
611	285761.7039
612	285696.6551
613	285636.8779
614	285580.7408
615	285528.2312
616	285490.6573
617	285438.0618
618	285361.661
619	285299.1324
620	285109.2344
621	285027.6094
622	285002.2711
623	284955.687
624	284876.8077
625	284811.2346
626	284758.3646
627	284711.8993
628	284649.9013
629	284596.4973
630	284527.5419
631	284466.5462
632	284326.7643
633	284253.4706
634	284208.8796
635	284157.7035
636	284066.581
637	283869.2359
638	283818.221
639	283760.4719
640	283660.0013
641	283591.8253
642	283462.7906
643	283395.6656
644	283344.4498
645	283287.1833
646	283253.0467
647	283196.892
648	283149.6044
649	283081.1625
650	283022.8122
651	282974.7438
652	282925.2622
653	282883.5699
654	282828.3416
655	282751.4912
656	282698.1007
657	282614.9491
658	282554.6452
659	282508.8891
660	282429.131
661	282346.1329
662	282295.0557
663	282247.6832
664	282208.6748
665	282185.9293
666	282137.4442
667	282061.8545
668	282023.8499
669	281861.4912
670	281792.0545
671	281741.2113
672	281720.1406
673	281682.9664
674	281634.8953
675	281586.4943
676	281524.7595
677	281477.9628
678	281430.334
679	281388.1562
680	281350.4028
681	281306.1118
682	281260.189
683	281219.4351
684	281184.5309
685	281140.7073
686	281088.3106
687	281040.6324
688	280993.148
689	280952.4526
690	280914.1802
691	280874.3868
692	280819.6993
693	280761.9102
694	280691.8738
695	280657.3819
696	280607.3296
697	280571.0271
698	280523.939
699	280475.3071
700	280431.9077
701	280393.4541
702	280346.9406
703	280291.5995
704	280272.0919
705	280216.1464
706	280107.5192
707	280057.9019
708	280005.8307
709	279947.4644
710	279875.921
711	279828.5713
712	279687.8878
713	279644.8813
714	279550.6242
715	279511.8631
716	279496.2117
717	279453.5755
718	279406.1469
719	279266.0694
720	279228.3136
721	279191.7225
722	279133.6742
723	279079.5299
724	279042.0285
725	279002.2566
726	278954.7787
727	278921.0829
728	278863.5611
729	278827.9088
730	278768.1414
731	278729.4103
732	278691.879
733	278640.7843
734	278606.8323
735	278566.7641
736	278478.7565
737	278441.4618
738	278413.6802
739	278365.5452
740	278315.2224
741	278253.9522
742	278214.8902
743	278153.846
744	278037.9331
745	277999.4595
746	277967.5558
747	277935.4828
748	277901.1291
749	277773.4858
750	277742.506
751	277703.411
752	277659.0482
753	277643.8739
754	277602.5165
755	277588.2402
756	277512.9441
757	277467.586
758	277410.26
759	277368.2546
760	277308.0013
761	277260.6709
762	277216.8758
763	277190.4178
764	277157.9447
765	277052.2204
766	277013.0979
767	276945.3405
768	276912.8426
769	276868.5432
770	276833.7469
771	276797.6172
772	276765.6202
773	276730.1888
774	276704.6177
775	276684.6548
776	276650.4479
777	276604.8696
778	276562.7838
779	276541.8737
780	276479.2534
781	276442.8624
782	276393.5107
783	276367.2686
784	276265.9881
785	276231.607
786	276202.1168
787	276165.0895
788	276134.8615
789	276090.0346
790	276060.6537
791	276037.2142
792	275997.4047
793	275957.7842
794	275931.3622
795	275903.0546
796	275873.5103
797	275829.533
798	275788.3459
799	275733.6478
800	275704.2716
801	275667.583
802	275624.8746
803	275579.669
804	275530.9278
805	275504.1421
806	275460.082
807	275415.6335
808	275390.3217
809	275370.6436
810	275341.1949
811	275314.4064
812	275280.7336
813	275257.6386
814	275228.5145
815	275202.1469
816	275168.1806
817	275141.632
818	275099.5693
819	275068.2452
820	275027.1959
821	274993.5773
822	274957.4542
823	274912.6472
824	274877.3175
825	274811.148
826	274765.0484
827	274734.6558
828	274701.3947
829	274645.6893
830	274607.0892
831	274575.2803
832	274548.4762
833	274526.114
834	274500.5639
835	274477.1725
836	274449.0223
837	274423.4985
838	274402.4073
839	274375.8195
840	274351.4916
841	274329.2208
842	274307.5197
843	274285.123
844	274259.4072
845	274225.7626
846	274191.8261
847	274180.5074
848	274149.9488
849	274118.3681
850	274097.1236
851	274077.1588
852	274050.7019
853	274017.1181
854	273996.2601
855	273950.9652
856	273928.3019
857	273897.3165
858	273876.5943
859	273860.7853
860	273830.2906
861	273793.8075
862	273757.2426
863	273734.7578
864	273703.3194
865	273673.0259
866	273646.2205
867	273609.8891
868	273549.734
869	273523.0442
870	273493.8397
871	273473.3609
872	273439.136
873	273396.3199
874	273367.1631
875	273342.9828
876	273312.0119
877	273289.9744
878	273253.2662
879	273220.9552
880	273205.4953
881	273162.9137
882	273137.6188
883	273113.1382
884	273088.3611
885	273048.9501
886	273000.6486
887	272974.3147
888	272938.4475
889	272880.3195
890	272849.1341
891	272811.8047
892	272793.1001
893	272761.917
894	272744.0396
895	272719.7847
896	272696.3857
897	272667.3598
898	272640.1225
899	272617.9099
900	272576.0092
901	272544.0231
902	272515.3043
903	272493.3155
904	272464.7906
905	272398.6334
906	272374.0293
907	272335.5917
908	272316.3684
909	272305.6937
910	272267.3997
911	272225.2002
912	272212.6158
913	272200.1291
914	272187.2762
915	272159.7231
916	272132.1819
917	272095.1337
918	272070.8908
919	272044.9925
920	272002.5129
921	271970.8195
922	271944.9336
923	271927.5932
924	271906.5498
925	271845.8162
926	271824.5176
927	271798.4427
928	271770.5633
929	271737.2654
930	271712.7467
931	271681.0541
932	271665.5345
933	271632.1373
934	271613.2799
935	271584.9287
936	271558.4723
937	271537.466
938	271502.0497
939	271475.1676
940	271447.7128
941	271390.5638
942	271352.7
943	271329.6016
944	271256.9126
945	271210.5777
946	271179.3927
947	271154.6842
948	271135.8317
949	271089.0826
950	271066.3865
951	271004.3283
952	270966.7739
953	270931.4712
954	270923.4035
955	270889.6675
956	270850.2878
957	270815.9371
958	270796.0319
959	270762.1827
960	270753.1655
961	270726.0273
962	270705.2888
963	270691.4351
964	270656.615
965	270633.4606
966	270583.7353
967	270572.0028
968	270542.2288
969	270519.6188
970	270491.1615
971	270462.0231
972	270439.9691
973	270416.6616
974	270382.7553
975	270371.6359
976	270338.9054
977	270318.98
978	270297.2553
979	270270.8033
980	270254.3781
981	270233.7626
982	270207.4793
983	270185.5815
984	270169.1099
985	270138.5554
986	270110.635
987	270076.0111
988	270048.647
989	270035.2692
990	270008.0574
991	269979.628
992	269946.7832
993	269922.6281
994	269902.0859
995	269880.027
996	269848.5947
997	269805.0398
998	269781.2903
999	269757.4811
